titles,category
한동훈  김경율 사퇴가 출구 전략  그런 얘기 들은 바 없다  ,Politics
민주   인재  호 에 민생경제 전문가 김남근 변호사 영입,Politics
북  개도국정상회의서  불균형적 격차  비판   류궈중 만나,Politics
서천 상인 목소리는 외면      현장서 직접 피해 상인들과 대화 ,Politics
김경율 비대위원  사퇴할 뜻 없다 ,Politics
민주      서천시장 방문에  국민 아픔은 정치쇼 무대 아냐  종합 ,Politics
한동훈  윤 대통령에 대한 존중과 신뢰 변함없어 ,Politics
김웅       갈등 봉합 에  다 진 게임 공천 두고 진짜 승부날 것 ,Politics
이재명  이언주에 복당 권유 정성호  이언주 용기에 박수 ,Politics
윤 대통령  법무장관에 박성재 전 서울고검장 지명,Politics
시몬스  수면건강 되찾기  설 맞이 행사,Economic
수억 달러 쏟아부었지만 애플카  출시 지연에 성능도 하향,Economic
    국회에 마지막 호소    인 미만 중처법 유예 절실 ,Economic
 ETF가 되레 악재였을까   억 간다던 비트코인  왜 자꾸 흘러내릴까   투자    ,Economic
 계약서 보여줘  vs  권한 없어  루비콘강 건넌 한미 오너일가 갈등,Economic
사과  개에  만  천 원 설 차례상 비용  역대 최고 ,Economic
S P     사흘째 최고가 넷플릭스 장 마감 후    급등  뉴욕증시 브리핑 ,Economic
중국내 한국계 은행들  올해 가장 큰 리스크는 부동산 ,Economic
가수 장범준  NFT 티켓으로 공연 예매 진행    암표 근절 ,Economic
대방역 노량진역 더블 역세권 노량진 구역 최고   층    가구로,Economic
광주 지역 시민단체  달빛철도 특별법  제정 촉구,social
 단독 푸바오  월초 중국행   일 전 격리  직관 두 달 남아,social
룸카페서 미성년자 성범죄 저지른   대 영장 신청,social
폭설 강풍에 막힌 제주 하늘길    여 편 무더기 결항,social
 아 XX 못 해 먹겠네  폭언 일삼은 삼성바이오로직스 간부들 종합 ,social
 아이 키우기에 온 부산이 나섰다  지자체 교육청 대학 협약 체결,social
인천시  섬 주민 택배 추가 비용 연간   만원 지원,social
 콘서트 티켓 팔아요      만원  꿀꺽 한   대 실형,social
세종시 대중교통 이용객 수  코로나 이전 수준 추월,social
 여성도 강인한 체력 필요  소방관 체력시험  남녀 기준 같아진다,social
하이브  엔터업계 첫 사내병원 설립  연습생도 이용가능,Culture
유인촌 장관   웹툰계 넷플릭스  만들겠다 종주국 입지 굳혀야 ,Culture
한국계 셀린 송  패스트 라이브즈  오스카 작품상 등  개 후보,Culture
내일도 서울 아침 영하   도   호남 서부 제주엔 많은 눈,Culture
모레까지 한파 계속 호남 제주에 많은 눈,Culture
JW신약    피에르파브르 탈모 완화 화장품 판매 시작,Culture
 사흘째 전국이  꽁꽁   서울          서해안 제주 대설 날씨 ,Culture
고양 서오릉 김포 장릉 개방 시간 오전  시로 조정,Culture
 갈라파고스 풍조가 비자금 조성 온상     정가 자성론,World
바이든 수낵  홍해 안보 논의 미 영연합군은 후티 공습,World
미스 일본은 우크라이나 출신 모델 일본 누리꾼  시끌 ,World
 깜깜이 입원  미 국방장관 퇴원 후 첫 공식석상 등장,World
 멸망까지   초    아인슈타인이 만든 지구종말시계      년에 경고,World
백악관  인질 석방 위한 이스라엘 하마스 긴 휴전 지지 ,World
     동향 긴밀 주시 북러 관계 심화 우려 ,World
이스라엘군  칸 유니스 포위작전서 하루   명 전사  발표,World
 경선 투표하지 말라  불참 독려 전화 속 바이든 목소리는  가짜 였다,World
 속보    뉴햄프셔 공화 경선  트럼프 승리 ,World
중국 게임산업 규제 조항 홈페이지 삭제   게임주도 급등 핫종목 ,IT
 에어맥스   굽높이 알려줘    네이버  AI로 브랜드 특화 정보 알려준다,IT
갤럭시 S    사전예약  일 만에 인도 판매 신기록,IT
LGU   AI 기반 고객 의견 분석 시스템  VOC LAB  개시,IT
삼성SDS  올해 사이버 보안 최대 화두는 AI 악용한 위협 ,IT
경로당 TV 보던 어르신  버스 오네  KT  지니TV 버스알리미 출시,IT
박윤규 차관   전국민 AI 일상화  현장 행보 시동,IT
세비야 FC  AI 활용해 선수 발굴 IBM 왓슨x 도입,IT
